Diagram        Frequency      Probability    Entropy        
HR             58             0,00248        0,02147        
HS             9              0,0028         0,02375        
HT             180            0,00401        0,03193        
HU             63             0,0012         0,01164        
HV             0              0,00039        0              
HW             1              0,00115        0,01123        
HX             0              6E-05          0              
HY             29             0,00078        0,00805        
HZ             0              4E-05          0              
H-             535            0,01002        0,06654        
IA             75             0,00364        0,02949        
IB             52             0,00068        0,00716        
IC             321            0,00111        0,01089        
ID             317            0,00206        0,01838        
IE             163            0,00569        0,04243        
IF             148            0,00103        0,01022        
IG             222            0,00098        0,0098         
IH             0              0,00299        0              
II             0              0,00309        0              
IJ             1              5E-05          0,00071        
IK             65             0,00039        0,00442        
IL             303            0,00179        0,01634        
IM             362            0,00113        0,01106        
IN             1850           0,00317        0,02632        
IO             260            0,00333        0,02741        
IP             58             0,00075        0,00779        
IQ             2              4E-05          0,00058        
IR             264            0,00256        0,02204        
IS             638            0,0029         0,02445        
IT             841            0,00415        0,03284        
IU             2              0,00124        0,01197        
IV             146            0,00041        0,00461        
IW             0              0,00119        0              
IX             8              6E-05          0,00084        
IY             0              0,00081        0              
IZ             27             4E-05          0,00058        
I-             178            0,01035        0,06825        
JA             7              6E-05          0,00084        
JB             0              1E-05          0              
JC             0              2E-05          0              
JD             0              3E-05          0              
JE             20             9E-05          0,00121        
JF             0              2E-05          0              
JG             0              2E-05          0              
JH             0              5E-05          0              
JI             0              5E-05          0              
JJ             0              0              0              
JK             0              1E-05          0              
JL             0              3E-05          0              
JM             0              2E-05          0              
JN             0              5E-05          0              
JO             16             5E-05          0,00071        
JP             0              1E-05          0              
JQ             0              0              0              
JR             0              4E-05          0              
JS             0              5E-05          0              
JT             0              7E-05          0              
JU             58             2E-05          0,00031        
JV             0              1E-05          0              
JW             0              2E-05          0              
JX             0              0              0              
JY             0              1E-05          0              
JZ             0              0              0              
J-             0              0,00017        0              
KA             17             0,00046        0,0051         
KB             2              9E-05          0,00121        
KC             1              0,00014        0,00179        
KD             1              0,00026        0,0031         
KE             260            0,00071        0,00743        
KF             3              0,00013        0,00168        
KG             2              0,00012        0,00156        
KH             0              0,00038        0              
KI             97             0,00039        0,00442        
KJ             0              1E-05          0              
KK             0              5E-05          0              
KL             16             0,00022        0,00267        
KM             2              0,00014        0,00179        
KN             79             0,0004         0,00452        
KO             3              0,00042        0,00471        
KP             1              9E-05          0,00121        
