Conditional       Probability       Entropy           
IL                0,00018           0,00224           
IM                0,00012           0,00156           
IN                0,00033           0,00382           
IO                0,00034           0,00392           
IP                8E-05             0,00109           
IQ                0                 NaN               
IR                0,00026           0,0031            
IS                0,00029           0,00341           
IT                0,00042           0,00471           
IU                0,00012           0,00156           
IV                4E-05             0,00058           
IW                0,00012           0,00156           
IX                1E-05             0,00017           
IY                8E-05             0,00109           
IZ                0                 NaN               
I-                0,001             0,00997           
JA                1E-05             0,00017           
JB                0                 NaN               
JC                0                 NaN               
JD                0                 NaN               
JE                1E-05             0,00017           
JF                0                 NaN               
JG                0                 NaN               
JH                0                 NaN               
JI                0                 NaN               
JJ                0                 NaN               
JK                0                 NaN               
JL                0                 NaN               
JM                0                 NaN               
JN                0                 NaN               
JO                1E-05             0,00017           
JP                0                 NaN               
JQ                0                 NaN               
JR                0                 NaN               
JS                0                 NaN               
JT                1E-05             0,00017           
JU                0                 NaN               
JV                0                 NaN               
JW                0                 NaN               
JX                0                 NaN               
JY                0                 NaN               
JZ                0                 NaN               
J-                2E-05             0,00031           
KA                4E-05             0,00058           
KB                1E-05             0,00017           
KC                1E-05             0,00017           
KD                2E-05             0,00031           
KE                7E-05             0,00097           
KF                1E-05             0,00017           
KG                1E-05             0,00017           
KH                4E-05             0,00058           
KI                4E-05             0,00058           
KJ                0                 NaN               
KK                0                 NaN               
KL                2E-05             0,00031           
KM                1E-05             0,00017           
KN                4E-05             0,00058           
KO                4E-05             0,00058           
KP                1E-05             0,00017           
KQ                0                 NaN               
KR                3E-05             0,00045           
KS                3E-05             0,00045           
KT                5E-05             0,00071           
KU                1E-05             0,00017           
KV                0                 NaN               
KW                1E-05             0,00017           
KX                0                 NaN               
KY                1E-05             0,00017           
KZ                0                 NaN               
K-                0,00012           0,00156           
LA                0,0002            0,00246           
LB                4E-05             0,00058           
LC                6E-05             0,00084           
LD                0,00011           0,00145           
LE                0,0003            0,00351           
LF                6E-05             0,00084           
LG                5E-05             0,00071           
LH                0,00016           0,00202           
LI                0,00016           0,00202           
LJ                0                 NaN               
LK                2E-05             0,00031           
LL                9E-05             0,00121           
LM                6E-05             0,00084           
LN                0,00016           0,00202           
LO                0,00017           0,00213           
LP                4E-05             0,00058           
LQ                0                 NaN               
LR                0,00013           0,00168           
LS                0,00015           0,00191           
LT                0,00021           0,00257           
LU                6E-05             0,00084           
LV                2E-05             0,00031           
LW                6E-05             0,00084           
LX                0                 NaN               
LY                4E-05             0,00058           
LZ                0                 NaN               
L-                0,00052           0,00567           
MA                0,00012           0,00156           
MB                2E-05             0,00031           
MC                4E-05             0,00058           
MD                7E-05             0,00097           
ME                0,00018           0,00224           
MF                3E-05             0,00045           
MG                3E-05             0,00045           
MH                0,0001            0,00133           
MI                0,0001            0,00133           
MJ                0                 NaN               
MK                1E-05             0,00017           
ML                6E-05             0,00084           
MM                4E-05             0,00058           
MN                0,0001            0,00133           
MO                0,0001            0,00133           
MP                2E-05             0,00031           
MQ                0                 NaN               
MR                8E-05             0,00109           
MS                9E-05             0,00121           
MT                0,00013           0,00168           
MU                4E-05             0,00058           
MV                1E-05             0,00017           
MW                4E-05             0,00058           
MX                0                 NaN               
MY                2E-05             0,00031           
MZ                0                 NaN               
M-                0,00032           0,00372           
NA                0,00031           0,00361           
NB                6E-05             0,00084           
NC                9E-05             0,00121           
ND                0,00017           0,00213           
NE                0,00047           0,0052            
NF                9E-05             0,00121           
NG                8E-05             0,00109           
NH                0,00025           0,00299           
NI                0,00025           0,00299           
NJ                0                 NaN               
NK                3E-05             0,00045           
NL                0,00014           0,00179           
NM                9E-05             0,00121           
NN                0,00025           0,00299           
NO                0,00026           0,0031            
NP                6E-05             0,00084           
NQ                0                 NaN               
NR                0,0002            0,00246           
NS                0,00023           0,00278           
NT                0,00033           0,00382           
NU                0,0001            0,00133           
NV                3E-05             0,00045           
NW                9E-05             0,00121           
NX                0                 NaN               
NY                6E-05             0,00084           
NZ                0                 NaN               
N-                0,00078           0,00805           
OA                0,00029           0,00341           
OB                5E-05             0,00071           
OC                9E-05             0,00121           
OD                0,00016           0,00202           
OE                0,00044           0,00491           
OF                8E-05             0,00109           
OG                7E-05             0,00097           
OH                0,00023           0,00278           
OI                0,00024           0,00289           
OJ                0                 NaN               
OK                3E-05             0,00045           
OL                0,00013           0,00168           
OM                8E-05             0,00109           
ON                0,00024           0,00289           
OO                0,00025           0,00299           
OP                6E-05             0,00084           
OQ                0                 NaN               
OR                0,00019           0,00235           
OS                0,00021           0,00257           
OT                0,0003            0,00351           
OU                9E-05             0,00121           
OV                3E-05             0,00045           
OW                8E-05             0,00109           
OX                0                 NaN               
OY                6E-05             0,00084           
OZ                0                 NaN               
O-                0,00073           0,00761           
PA                6E-05             0,00084           
PB                1E-05             0,00017           
PC                2E-05             0,00031           
PD                3E-05             0,00045           
PE                9E-05             0,00121           
PF                2E-05             0,00031           
PG                2E-05             0,00031           
PH                5E-05             0,00071           
PI                5E-05             0,00071           
PJ                0                 NaN               
PK                1E-05             0,00017           
PL                3E-05             0,00045           
PM                2E-05             0,00031           
PN                5E-05             0,00071           
PO                5E-05             0,00071           
PP                1E-05             0,00017           
PQ                0                 NaN               
PR                4E-05             0,00058           
PS                5E-05             0,00071           
PT                7E-05             0,00097           
PU                2E-05             0,00031           
PV                1E-05             0,00017           
PW                2E-05             0,00031           
PX                0                 NaN               
PY                1E-05             0,00017           
PZ                0                 NaN               
P-                0,00016           0,00202           
QA                0                 NaN               
QB                0                 NaN               
QC                0                 NaN               
QD                0                 NaN               
QE                0                 NaN               
QF                0                 NaN               
QG                0                 NaN               
QH                0                 NaN               
QI                0                 NaN               
QJ                0                 NaN               
QK                0                 NaN               
QL                0                 NaN               
QM                0                 NaN               
QN                0                 NaN               
QO                0                 NaN               
QP                0                 NaN               
QQ                0                 NaN               
QR                0                 NaN               
QS                0                 NaN               
QT                0                 NaN               
QU                0                 NaN               
QV                0                 NaN               
QW                0                 NaN               
QX                0                 NaN               
QY                0                 NaN               
QZ                0                 NaN               
Q-                1E-05             0,00017           
RA                0,00019           0,00235           
RB                4E-05             0,00058           
RC                6E-05             0,00084           
RD                0,00011           0,00145           
RE                0,0003            0,00351           
RF                6E-05             0,00084           
RG                5E-05             0,00071           
RH                0,00016           0,00202           
RI                0,00016           0,00202           
RJ                0                 NaN               
RK                2E-05             0,00031           
RL                9E-05             0,00121           
RM                6E-05             0,00084           
RN                0,00016           0,00202           
RO                0,00017           0,00213           
RP                4E-05             0,00058           
RQ                0                 NaN               
RR                0,00013           0,00168           
RS                0,00015           0,00191           
RT                0,00021           0,00257           
RU                6E-05             0,00084           
RV                2E-05             0,00031           
RW                6E-05             0,00084           
RX                0                 NaN               
RY                4E-05             0,00058           
RZ                0                 NaN               
R-                0,00051           0,00558           
SA                0,0002            0,00246           
SB                4E-05             0,00058           
SC                6E-05             0,00084           
SD                0,00011           0,00145           
SE                0,00032           0,00372           
SF                6E-05             0,00084           
SG                5E-05             0,00071           
SH                0,00017           0,00213           
SI                0,00017           0,00213           
SJ                0                 NaN               
SK                2E-05             0,00031           
SL                0,0001            0,00133           
SM                6E-05             0,00084           
SN                0,00017           0,00213           
SO                0,00018           0,00224           
SP                4E-05             0,00058           
SQ                0                 NaN               
SR                0,00014           0,00179           
SS                0,00015           0,00191           
ST                0,00022           0,00267           
SU                7E-05             0,00097           
SV                2E-05             0,00031           
SW                6E-05             0,00084           
SX                0                 NaN               
SY                4E-05             0,00058           
SZ                0                 NaN               
S-                0,00054           0,00586           
TA                0,00027           0,0032            
TB                5E-05             0,00071           
TC                8E-05             0,00109           
TD                0,00015           0,00191           
TE                0,00041           0,00461           
TF                8E-05             0,00109           
TG                7E-05             0,00097           
TH                0,00022           0,00267           
TI                0,00022           0,00267           
TJ                0                 NaN               
TK                3E-05             0,00045           
TL                0,00012           0,00156           
TM                8E-05             0,00109           
TN                0,00022           0,00267           
TO                0,00023           0,00278           
TP                5E-05             0,00071           
TQ                0                 NaN               
TR                0,00018           0,00224           
TS                0,0002            0,00246           
TT                0,00029           0,00341           
TU                8E-05             0,00109           
TV                3E-05             0,00045           
TW                8E-05             0,00109           
TX                0                 NaN               
TY                5E-05             0,00071           
TZ                0                 NaN               
T-                0,00069           0,00725           
UA                7E-05             0,00097           
UB                1E-05             0,00017           
UC                2E-05             0,00031           
UD                4E-05             0,00058           
UE                0,00011           0,00145           
UF                2E-05             0,00031           
UG                2E-05             0,00031           
UH                6E-05             0,00084           
UI                6E-05             0,00084           
UJ                0                 NaN               
UK                1E-05             0,00017           
UL                3E-05             0,00045           
UM                2E-05             0,00031           
UN                6E-05             0,00084           
UO                6E-05             0,00084           
UP                1E-05             0,00017           
UQ                0                 NaN               
UR                5E-05             0,00071           
US                6E-05             0,00084           
UT                8E-05             0,00109           
UU                2E-05             0,00031           
UV                1E-05             0,00017           
UW                2E-05             0,00031           
UX                0                 NaN               
UY                2E-05             0,00031           
UZ                0                 NaN               
U-                0,0002            0,00246           
VA                2E-05             0,00031           
VB                0                 NaN               
VC                1E-05             0,00017           
VD                1E-05             0,00017           
VE                4E-05             0,00058           
VF                1E-05             0,00017           
VG                1E-05             0,00017           
VH                2E-05             0,00031           
VI                2E-05             0,00031           
VJ                0                 NaN               
VK                0                 NaN               
VL                1E-05             0,00017           
VM                1E-05             0,00017           
VN                2E-05             0,00031           
VO                2E-05             0,00031           
VP                0                 NaN               
VQ                0                 NaN               
VR                2E-05             0,00031           
VS                2E-05             0,00031           
VT                3E-05             0,00045           
VU                1E-05             0,00017           
VV                0                 NaN               
VW                1E-05             0,00017           
VX                0                 NaN               
VY                0                 NaN               
VZ                0                 NaN               
V-                7E-05             0,00097           
WA                7E-05             0,00097           
WB                1E-05             0,00017           
WC                2E-05             0,00031           
WD                4E-05             0,00058           
WE                0,0001            0,00133           
WF                2E-05             0,00031           
WG                2E-05             0,00031           
WH                5E-05             0,00071           
WI                6E-05             0,00084           
WJ                0                 NaN               
WK                1E-05             0,00017           
WL                3E-05             0,00045           
WM                2E-05             0,00031           
WN                6E-05             0,00084           
WO                6E-05             0,00084           
WP                1E-05             0,00017           
WQ                0                 NaN               
WR                5E-05             0,00071           
WS                5E-05             0,00071           
WT                7E-05             0,00097           
WU                2E-05             0,00031           
WV                1E-05             0,00017           
WW                2E-05             0,00031           
WX                0                 NaN               
WY                1E-05             0,00017           
WZ                0                 NaN               
W-                0,00018           0,00224           
XA                0                 NaN               
XB                0                 NaN               
XC                0                 NaN               
XD                0                 NaN               
XE                1E-05             0,00017           
XF                0                 NaN               
XG                0                 NaN               
XH                0                 NaN               
XI                0                 NaN               
XJ                0                 NaN               
XK                0                 NaN               
XL                0                 NaN               
XM                0                 NaN               
XN                0                 NaN               
XO                0                 NaN               
XP                0                 NaN               
XQ                0                 NaN               
XR                0                 NaN               
XS                0                 NaN               
XT                0                 NaN               
XU                0                 NaN               
XV                0                 NaN               
XW                0                 NaN               
XX                0                 NaN               
XY                0                 NaN               
XZ                0                 NaN               
X-                1E-05             0,00017           
YA                4E-05             0,00058           
YB                1E-05             0,00017           
YC                1E-05             0,00017           
YD                2E-05             0,00031           
YE                7E-05             0,00097           
YF                1E-05             0,00017           
YG                1E-05             0,00017           
YH                4E-05             0,00058           
YI                4E-05             0,00058           
YJ                0                 NaN               
YK                0                 NaN               
YL                2E-05             0,00031           
YM                1E-05             0,00017           
YN                4E-05             0,00058           
YO                4E-05             0,00058           
YP                1E-05             0,00017           
YQ                0                 NaN               
YR                3E-05             0,00045           
YS                3E-05             0,00045           
YT                5E-05             0,00071           
YU                1E-05             0,00017           
YV                0                 NaN               
YW                1E-05             0,00017           
YX                0                 NaN               
YY                1E-05             0,00017           
YZ                0                 NaN               
Y-                0,00012           0,00156           
ZA                0                 NaN               
ZB                0                 NaN               
ZC                0                 NaN               
ZD                0                 NaN               
ZE                0                 NaN               
ZF                0                 NaN               
ZG                0                 NaN               
ZH                0                 NaN               
ZI                0                 NaN               
ZJ                0                 NaN               
ZK                0                 NaN               
ZL                0                 NaN               
ZM                0                 NaN               
ZN                0                 NaN               
ZO                0                 NaN               
ZP                0                 NaN               
ZQ                0                 NaN               
ZR                0                 NaN               
ZS                0                 NaN               
ZT                0                 NaN               
ZU                0                 NaN               
ZV                0                 NaN               
ZW                0                 NaN               
ZX                0                 NaN               
ZY                0                 NaN               
ZZ                0                 NaN               
Z-                1E-05             0,00017           
-A                0,00055           0,00596           
-B                0,0001            0,00133           
-C                0,00017           0,00213           
-D                0,0003            0,00351           
-E                0,00083           0,00849           
-F                0,00015           0,00191           
-G                0,00014           0,00179           
-H                0,00043           0,00481           
-I                0,00044           0,00491           
-J                1E-05             0,00017           
-K                5E-05             0,00071           
-L                0,00024           0,00289           
-M                0,00015           0,00191           
-N                0,00043           0,00481           
-O                0,00045           0,005             
-P                0,0001            0,00133           
-Q                1E-05             0,00017           
-R                0,00034           0,00392           
-S                0,00038           0,00432           
-T                0,00054           0,00586           
-U                0,00016           0,00202           
-V                5E-05             0,00071           
-W                0,00015           0,00191           
-X                1E-05             0,00017           
-Y                0,0001            0,00133           
-Z                1E-05             0,00017           
--                0,00128           0,0123            
Total:         1              NaN            
